Definitions:,Day or Night,What's the weather?,Is there wildfire or smoke?,Are there pelicans?,Are there pods?,How many pods?,Are the birds flying around/away from somewhere?,Are the babies on a nest or in a pod?,Are there predators?,Have the parents abandoned their young?,Is this a pretty photo?
File,Time (Day/Night),"Weather (snow, rain, etc)",WildfireSmoke (True/False),Pelicans (True/False),Pods (True/False),"NumPods (1,2,...,10)",Disturbance (True/False),StageOfNesting (On nest/ In pod),Predators (True/ False),Abandonment (True/False),Mark(True/False)
20170309002000.jpg',day,sun,FALSE,FALSE,FALSE,,TRUE,,FALSE,,
20170309014000.jpg',day,,,,,,,,,,
20170309091500.jpg',night,,,,,,,,,,
20170309162000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170309184500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170310041500.jpg',night,,,,,,,,,,
20170310153000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170311092000.jpg',night,,,,,,,,,,
20170311145000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,FALSE,FALSE
20170311235500.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,FALSE,FALSE
20170312024500.jpg',night,,,,,,,,,,
20170312065500.jpg',night,,,,,,,,,,
20170312140000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,FALSE,FALSE
20170312164000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,FALSE,FALSE
20170313014500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170313093500.jpg',night,,,,,,,,,,
20170314023500.jpg',night,,,,,,,,,,
20170314064500.jpg',night,,,,,,,,,,
20170314210000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170315001000.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170315155000.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170315202000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170315222000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170315232500.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170316064500.jpg',night,,,,,,,,,,
20170316102500.jpg',night,,,,,,,,,,
20170316125500.jpg',night,,,,,,,,,,
20170316160000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170316170500.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170317032000.jpg',night,,,,,,,,,,
20170317033500.jpg',night,,,,,,,,,,
20170317034500.jpg',night,,,,,,,,,,
20170317063000.jpg',night,,,,,,,,,,
20170317075000.jpg',night,,,,,,,,,,
20170318041000.jpg',night,,,,,,,,,,
20170318063500.jpg',night,,,,,,,,,,
20170318121000.jpg',night,,,,,,,,,,
20170318133500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,TRUE
20170318140500.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170318150500.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170318173500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170318203000.jpg',day,cloudy,FALSE,FALSE,FALSE,,TRUE,,FALSE,,FALSE
20170319004500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170319013000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170319055000.jpg',night,,,,,,,,,,
20170319122000.jpg',night,,,,,,,,,,
20170319144500.jpg',day,sun,FALSE,FALSE,FALSE,,TRUE,,FALSE,,FALSE
20170319174500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170319234500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170320105000.jpg',night,,,,,,,,,,
20170320193500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170321010500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,TRUE
20170321161500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170321182500.jpg',day,sun,FALSE,FALSE,FALSE,,TRUE,,FALSE,,FALSE
